time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737349,0.306502,-1.864853,0.258792,0.155736,1.000342,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.734824,0.592412,0.552529,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737396,0.306501,-1.864854,0.258792,0.155736,1.000358,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.734118,0.592059,0.552647,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737445,0.306501,-1.864854,0.258792,0.155737,1.000374,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.733396,0.591698,0.552767,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737494,0.306501,-1.864855,0.258791,0.155737,1.000391,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.732658,0.591329,0.55289,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737545,0.3065,-1.864855,0.258791,0.155737,1.000408,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.731904,0.590952,0.553016,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737596,0.3065,-1.864856,0.258791,0.155738,1.000425,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.731134,0.590567,0.553144,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737649,0.306499,-1.864856,0.25879,0.155738,1.000443,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.730348,0.590174,0.553275,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148965,-0.737703,0.306499,-1.864857,0.25879,0.155739,1.000461,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.729545,0.589773,0.553409,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.737758,0.306499,-1.864857,0.25879,0.155739,1.00048,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.728727,0.589364,0.553545,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.737814,0.306498,-1.864858,0.258789,0.15574,1.000498,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.727893,0.588947,0.553684,0.3
